,precision,recall,f1-score,support
0,0.78125,0.7731958762886598,0.7772020725388601,194.0
1,0.9375,0.40540540540540543,0.5660377358490566,37.0
2,0.6764705882352942,0.782312925170068,0.7255520504731862,147.0
accuracy,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
macro avg,0.7984068627450981,0.6536380689547111,0.6895972862870342,378.0
weighted avg,0.7557967631497043,0.7407407407407407,0.7364464278267522,378.0
