,accuracy,loss,val_accuracy,val_loss
0,0.5811209678649902,0.8831414580345154,0.658823549747467,0.8094141483306885
1,0.6666666865348816,0.7533458471298218,0.6882352828979492,0.7492551207542419
2,0.6895280480384827,0.7008336186408997,0.7117646932601929,0.7085496783256531
3,0.7079645991325378,0.6614245772361755,0.7470588088035583,0.6808765530586243
4,0.7256637215614319,0.6295447945594788,0.7529411911964417,0.6595765948295593
5,0.7433628439903259,0.6026067137718201,0.7588235139846802,0.6419034004211426
6,0.7581120729446411,0.5791741013526917,0.770588219165802,0.6266132593154907
7,0.7691740393638611,0.5583677291870117,0.7764706015586853,0.6130642294883728
8,0.7817109227180481,0.5396262407302856,0.7764706015586853,0.600879430770874
9,0.7898229956626892,0.522567629814148,0.7764706015586853,0.5898067951202393
