,precision,recall,f1-score,support
0,0.49411764705882355,1.0,0.6614173228346457,84.0
1,0.0,0.0,0.0,9.0
2,0.0,0.0,0.0,77.0
accuracy,0.49411764705882355,0.49411764705882355,0.49411764705882355,0.49411764705882355
macro avg,0.16470588235294117,0.3333333333333333,0.22047244094488191,170.0
weighted avg,0.2441522491349481,0.49411764705882355,0.3268179712830014,170.0
