,precision,recall,f1-score,support
0,0.9523809523809523,0.9523809523809523,0.9523809523809523,84.0
1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
2,0.948051948051948,0.948051948051948,0.948051948051948,77.0
accuracy,0.9470588235294117,0.9470588235294117,0.9470588235294117,0.9470588235294117
macro avg,0.9297739297739298,0.9297739297739298,0.9297739297739298,170.0
weighted avg,0.9470588235294117,0.9470588235294117,0.9470588235294117,170.0
