,precision,recall,f1-score,support
0,0.8023255813953488,0.8214285714285714,0.8117647058823529,84.0
1,1.0,0.1111111111111111,0.2,9.0
2,0.7831325301204819,0.8441558441558441,0.8125,77.0
accuracy,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235
macro avg,0.8618193705052769,0.5922318422318422,0.6080882352941176,170.0
weighted avg,0.80409737444992,0.7941176470588235,0.7797102076124568,170.0
