,precision,recall,f1-score,support
0,0.8045977011494253,0.8333333333333334,0.8187134502923976,84.0
1,1.0,0.1111111111111111,0.2,9.0
2,0.7926829268292683,0.8441558441558441,0.8176100628930818,77.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8657602093262312,0.5962000962000962,0.6121078377284931,170.0
weighted avg,0.8095458368376788,0.8,0.7854582627489923,170.0
